review_id,source,candidate,core_semantics_preserved_0_1,entities_numbers_preserved_0_1,negation_modality_preserved_0_1,event_roles_preserved_0_1,no_added_or_missing_facts_0_1,natural_readable_0_1,overall_valid_0_1,notes
1,Malala Yousafzai is brilliant in academics. Malala Yousafzai describes something. Brilliant Malala Yousafzai. Malala Yousafzai describes something in 2024. Someone describes Malala Yousafzai to a community.,Malala Yousafzai is brilliant in academics. Something is described by Malala Yousafzai. Brilliant Malala Yousafzai. Malala Yousafzai describes something in 2024. A community is given a description of Malala Yousafzai by someone.,,,,,,,,
2,Jeff Deardorff has arrived at a location. Jeff Deardorff arrived at a location. Imagine a day arriving. Jeff Deardorff arrived at a location. Jeff Deardorff arrived at a location.,A location was reached by Jeff Deardorff. Jeff Deardorff made it to a location. Imagine a day arriving. Jeff Deardorff arrived at a location. Jeff Deardorff arrived at a location.,,,,,,,,
3,BlackRock Inc. operates globally. Define BlackRock Inc. as something. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,BlackRock Inc. operates globally. Define BlackRock Inc. as something. BlackRock Inc. is defined as an entity that is engaged in operations. BlackRock Inc. is something about BlackRock Inc.,,,,,,,,
4,BlackRock Inc. operates globally. Define BlackRock Inc. as something. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,BlackRock Inc. operates globally. Provide a definition for BlackRock Inc. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,,,,,,,,
5,Jeff Deardorff has arrived at a location. Jeff Deardorff arrived at a location. Imagine a day arriving. Jeff Deardorff arrived at a location. Jeff Deardorff arrived at a location.,Jeff Deardorff has arrived at a location. Jeff Deardorff arrived at a location. A day was imagined arriving. Jeff Deardorff arrived at a location. Jeff Deardorff reached a place.,,,,,,,,
6,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,"The report should be made transparent. The organization earned something. At some point in time, Prasar Bharti earned something. The organization earned something. Prasar Bharti earned only something.",,,,,,,,
7,Bus Bob Krause died. Bus Bob Krause's death was reported to someone. The death of Bus Bob Krause was reported to someone recently. Bus Bob Krause's death was reported recently to someone. Make something good.,"Bob Krause passed away on a bus. Someone was informed of the death of Bob Krause, which occurred on a bus. The death of Bus Bob Krause was reported to someone recently. Bus Bob Krause's death was reported recently to someone. Make something good.",,,,,,,,
8,Someone holds WebMD Health Corp. for something. WebMD Health Corp. is important for something. WebMD Health Corp. was held in 2015. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.,"WebMD Health Corp. is held by someone for some reason. WebMD Health Corp. is important for something. In 2015, WebMD Health Corp. was held by someone. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.",,,,,,,,
9,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Something about Black Friday is what QVC should be told. QVC's something is aggressive. QVC plans something for Black Friday.,,,,,,,,
10,Josh Rosen is hot. Josh Rosen threw something. Josh Rosen threw something in 2015. You throw something. Throw a pass.,Josh Rosen is hot. Something was thrown by Josh Rosen. Josh Rosen threw something in 2015. You throw something. Make a pass throw.,,,,,,,,
11,A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.,"A concept is what a 2-to-2 ratio of something is defined as. NASCAR is defined as a concept, being something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.",,,,,,,,
12,"Tell a person a story about something to Alice. Tell a person a story about a city. Alice, whose age is something, is a person. Tell a person a story about a city. Tell a person a story about New York City to Alice.","Tell a person a story about something to Alice. Tell a person a story about a city. There is a person whose age is unspecified, and that person is Alice. Tell a person a story about a city. A story about New York City should be told to Alice by someone.",,,,,,,,
