序号,原段落索引,类别,原文,攻击文本,z_score,初步事实,初步实体,初步关系,初步否定模态,初步可读性,我的初步结论,人工事实(0/1),人工实体(0/1),人工关系(0/1),人工否定模态(0/1),人工可读性(1-5),人工最终有效(0/1)
1,0,原始/质量感知成功,IBM Corporation launched a server. IBM Corporation. The cluster topic is about IBM Corporation. IBM Corporation is related to something. IBM Corporation.,"IBM Corporation's launch of a server has been carried out, and the cluster topic concerns this same entity, which is associated with an unspecified relation, as IBM Corporation itself remains the central subject.",-0.5773502691896258,False,True,False,True,False,"Attack adds 'has been carried out' (unwarranted perfect tense), replaces 'something' with 'unspecified relation' (vague substitution), and adds 'central subject' (addition). Text is awkward and no longer precise.",,,,,,
2,1,原始/质量感知成功,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,"The report must be made transparent, with something having been earned by the organization, specifically by Prasar Bharti, at a certain time, and it is only that something which Prasar Bharti earned.",-0.5773502691896258,待复核,待复核,待复核,待复核,待复核,SSLError,,,,,,
3,2,原始/质量感知成功,Marketers define something. Marketers define Apple. Marketers define the Apple brand as something. Define the Apple brand as a marketer. A marketer defines Apple as a brand.,"The Apple brand is defined by marketers; the entity known as Apple is what marketers define, and that same brand is what a marketer defines Apple as.",-0.5773502691896258,False,True,False,True,False,ATTACK adds 'entity known as Apple' and 'same brand' which are not in SOURCE; introduces awkward redundancy and vague substitution for 'something'; fails to preserve precise relations and omissions.,,,,,,
4,3,原始/质量感知成功,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,"The appointment of Kim Rinaldi to the position of director was made by the Middletown Township Public Library, which itself had been designated as the appointee for that same appointment by the Township of Middletown; this action resulted in Kim Rinaldi being named to a role by the library.",-0.5773502691896258,True,False,False,True,False,"Entity ambiguity: 'the library' is referred to as 'the appointee' in SOURCE, but ATTACK says 'the library...had been designated as the appointee for that same appointment' which introduces an unclear relation (the library is both appointer and appointee). Also, 'something' in SOURCE is replaced with 'director' in ATTACK, which is an addition not explicitly stated in SOURCE (SOURCE says 'as something' and 'as a director' but the repeated 'something' indicates uncertainty). Relation is distorted: SOURCE's awkward phrasing 'Appoint the library as the appointee of the appointment...' is not preserved as a clear relation; ATTACK reinterprets it as a prior designation, which is an addition. Readability is poor due to convoluted structure.",,,,,,
5,4,原始/质量感知成功,The report states something. Make your report detailed. The report states the World Health Organization. The report states something. The report states the World Health Organization.,"The requirement from the report is that it must be made detailed, and this same report states both ""something"" and ""the World Health Organization"" repeatedly, with its attributions including the World Health Organization as an entity in each instance.",-0.5773502691896258,False,False,False,False,False,ATTACK adds 'requirement from the report' and 'must be made detailed' which are not in SOURCE; omits the explicit repetition pattern of 'The report states something' and 'The report states the World Health Organization'; introduces vague attribution 'its attributions including' not present; changes polarity by asserting a requirement; text is awkward and no longer communicates the source precisely.,,,,,,
6,5,原始/质量感知成功,Shut down your service. Shut down Allo. A company shut down something. Google shut down something in a service. Shut down your service.,Per the audit requirements: shut down your service; shut down Allo. A company performed a shutdown of something. Google performed a shutdown of something within a service. Shut down your service.,2.3094010767585034,True,True,True,True,True,"All explicit facts, entities, relations, polarity, and modality are preserved. No additions, omissions, vague substitutions, or ambiguity.",,,,,,
7,6,原始/质量感知成功,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,"That I was given something came as a surprise. My being assigned the arts and culture position was something that surprised me. A surprise, in the form of something, was what the assignment of the arts and culture position gave me. The arts and culture position assignment caused my surprise. An idea was what the arts and culture position assignment surprised me with.",-1.2909944487358056,True,False,False,True,False,Entity ambiguity: 'something' replaces specific referents; relation altered: 'surprised me with something' vs 'surprised me with an idea' conflates distinct statements; awkward phrasing loses precision of source.,,,,,,
8,7,原始/质量感知成功,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","A presentation was delivered to Washington by an individual. An individual is to be the recipient of a presentation. A presentation was given to Washington, D.C. An individual delivered a presentation to Washington. A presentation concerning Washington, D.C. is to be given to Washington.",2.3094010767585034,False,True,False,True,False,"The ATTACK text introduces 'an individual' as a vague substitution for 'someone' and changes the modality of 'Give someone a presentation' and 'Give a presentation about Washington, D.C. to Washington' from imperative/active to passive or future tense ('is to be'), altering the original precise relations and modality. Additionally, 'delivered' is a synonym but the shift in structure and tense loses the exact phrasing and intent of the SOURCE.",,,,,,
9,9,原始/质量感知成功,A person missed something. You missed the ICYMI abbreviation's definition. Define ICYMI. Define the abbreviation ICYMI. Define the ICYMI abbreviation now.,"The definition of the abbreviation ICYMI was missed by you, as a person overlooked something; let the abbreviation ICYMI be defined at this moment.",-0.5773502691896258,True,True,False,True,False,"The ATTACK reorders and rephrases the source awkwardly, omitting the explicit repetition of 'Define ICYMI' and 'Define the abbreviation ICYMI' as separate commands, and introduces 'let the abbreviation ICYMI be defined at this moment' which is a vague substitution for the source's direct imperative 'Define the ICYMI abbreviation now.' The relation between the missed definition and the command to define is preserved but the text no longer communicates the source precisely.",,,,,,
10,10,原始/质量感知成功,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,"The jury must be informed of the acquittal concerning the widow and the Pulse nightclub; repeatedly, the acquittal itself is what the jury needs to be told about the widow in relation to that nightclub.",-0.5773502691896258,True,True,False,True,False,"The ATTACK adds 'must be informed' and 'repeatedly' which are not in SOURCE; it also rephrases the relation awkwardly, losing the precise repetition and imperative 'Tell the jury' structure.",,,,,,
11,11,原始/质量感知成功,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,"QVC's aggressiveness is evident in its planning for Black Friday, and it is being told something about the event; the company's aggressive approach underlies its Black Friday plans.",-0.5773502691896258,False,True,False,True,True,ATTACK adds 'evident' and 'underlies' not in SOURCE; replaces 'something' with 'the event' and 'its planning' which are vague substitutions; omits 'to an extent' and 'Tell QVC something about Black Friday' imperative; introduces 'company' as ambiguous entity.,,,,,,
12,12,原始/质量感知成功,Malala Yousafzai is brilliant in academics. Malala Yousafzai describes something. Brilliant Malala Yousafzai. Malala Yousafzai describes something in 2024. Someone describes Malala Yousafzai to a community.,"It was in 2024 that Malala Yousafzai, an academic standout, provided a description of something, while also being the subject of a description given to a community by an unspecified individual; the brilliance of Malala Yousafzai is affirmed.",-0.5773502691896258,True,True,False,True,False,"The ATTACK adds 'an academic standout' (not in SOURCE), reorders and merges events into a single sentence with awkward structure, and introduces 'while also being the subject of a description' which is a vague substitution for the SOURCE's 'Someone describes Malala Yousafzai to a community'—the SOURCE does not specify that the description is simultaneous or that the 'someone' is 'unspecified individual' (though implied, the ATTACK's phrasing is an addition). The ATTACK also changes the modality of 'Brilliant Malala Yousafzai' from a standalone assertion to a passive affirmation, altering the original's precise structure.",,,,,,
13,13,原始/质量感知成功,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"The condition of occasional diarrhea is experienced by an individual, and this person is affected by it as a medical issue. It is necessary for that individual to inform a specialist, specifically the doctor, regarding the presence of this occasional diarrhea condition.",-0.8164965809277261,True,False,False,True,True,"Entity ambiguity: 'the doctor' and 'the specialist' are conflated into one entity, but SOURCE distinguishes them as separate recipients of information. Relation altered: ATTACK merges the two distinct instructions into one, losing the precise sequence and separate targets.",,,,,,
14,14,原始/质量感知成功,Someone holds WebMD Health Corp. for something. WebMD Health Corp. is important for something. WebMD Health Corp. was held in 2015. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.,"WebMD Health Corp.’s significance, tied to its being held in 2015, is asserted for unspecified reasons, and its importance is maintained for multiple distinct purposes.",-0.5773502691896258,False,True,False,True,False,ATTACK introduces 'significance' and 'multiple distinct purposes' not in SOURCE; omits 'someone holds' and 'something' specifics; vague substitutions and added interpretation.,,,,,,
15,15,原始/质量感知成功,The conference held something. Show an attendee a session about SocialDevCamp Chicago at the conference. The conference held an event named SocialDevCamp Chicago. SocialDevCamp Chicago held an event in 2024. SocialDevCamp Chicago held an event in 2024.,"At the conference, a session about SocialDevCamp Chicago was shown to an attendee; this conference hosted an event called SocialDevCamp Chicago, which itself took place in 2024—a year in which SocialDevCamp Chicago also held an event.",-0.5773502691896258,True,True,True,True,False,"The ATTACK text adds 'itself took place in 2024—a year in which SocialDevCamp Chicago also held an event,' which introduces an awkward, redundant, and imprecise restatement not present in the SOURCE. The SOURCE simply states 'SocialDevCamp Chicago held an event in 2024' twice; the ATTACK's phrasing implies a separate or additional event, creating ambiguity and violating the requirement to preserve exact meaning without addition or awkward substitution.",,,,,,
16,16,原始/质量感知成功,BlackRock Inc. operates globally. Define BlackRock Inc. as something. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,"BlackRock Inc. is defined as a globally operating entity, with its operations encompassing something, and the company itself being characterized by something about BlackRock Inc.",-0.5773502691896258,False,True,False,True,False,"ATTACK adds 'defined as a globally operating entity' and 'encompassing something' which are not in SOURCE; SOURCE has no such definition or characterization. Also, 'the company itself being characterized by something about BlackRock Inc.' is a vague substitution and awkward rephrasing that loses precision.",,,,,,
17,17,原始/质量感知成功,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"New York acquired the home in 2023, and New York itself was sold during 2023, with the home also being the recipient of New York’s sale in 2023; furthermore, New York was sold in 2023, and it was New York that sold the home in 2023.",-0.5773502691896258,False,True,False,True,False,"The ATTACK introduces a contradictory and nonsensical relation: 'the home also being the recipient of New York’s sale' implies the home bought New York, which is not in SOURCE. SOURCE states 'New York was sold to the home' (home bought New York) and 'New York sold the home' (New York sold home), which are contradictory, but ATTACK adds an extra, unsupported relation. Also, 'New York acquired the home' is a vague substitution for 'sold to New York' (home sold to New York), altering the direction of the transaction. The text is awkward and no longer communicates the source precisely.",,,,,,
18,18,原始/质量感知成功,A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.,"A concept is established whereby a 2-to-2 ratio of something is defined; simultaneously, the notion of NASCAR is specified as something, with that same specification of NASCAR as something occurring at a particular time. A definition of a concept as something is provided, and the concept of NASCAR is further defined as something.",-0.8164965809277261,False,True,False,True,False,"The ATTACK adds 'simultaneously', 'with that same specification', 'occurring at a particular time', and 'further defined', which are not present in the SOURCE. It also reorders and rephrases the statements, introducing vague temporal and relational modifiers that alter the precise meaning and structure of the SOURCE.",,,,,,
