review_id,budget_k,source_index,source,candidate,meaning_preserved_0_or_1,facts_preserved_0_or_1,readable_0_or_1,reviewer_notes
1,8,3,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,"Kim Rinaldi is now the director of Middletown Township Public Library. The appointment was made by the library, though the Township of Middletown is also involved in the appointment process. The library is the appointing body for this role.",,,,
2,1,6,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,"The surprise, for me, was the arts and culture position itself, not merely the act of receiving it. It struck me as an unexpected assignment, carrying with it an unforeseen idea.",,,,
3,1,21,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,"A recent transaction has resulted in the acquisition of two military helicopters by the UAE, with the seller being an unspecified entity.",,,,
4,2,3,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,"Kim Rinaldi is now the director of Middletown Township Public Library. The appointment was made by the library, though the Township of Middletown is also involved in the appointment process. The library is the appointing body for this role.",,,,
5,2,17,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"New York became the owner of the home when the transaction was completed in 2023, and that same year witnessed the transfer of the property to the state.",,,,
6,8,26,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,"Something is now defined by the nice lots, and that something is their topic. Builder is tasked with defining that topic. Additionally, the nice lots themselves are to be defined, which Builder also handles.",,,,
7,2,11,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,"QVC is quite aggressive, and its Black Friday plans are especially so; tell QVC what you think about Black Friday, because QVC has aggressive plans for that day.",,,,
8,4,2,Marketers define something. Marketers define Apple. Marketers define the Apple brand as something. Define the Apple brand as a marketer. A marketer defines Apple as a brand.,"When it comes to defining a brand, marketers have a specific framework in mind. That framework, when applied to Apple, yields a particular definition. In other words, the Apple brand is defined by marketers according to their professional criteria.",,,,
9,2,4,The report states something. Make your report detailed. The report states the World Health Organization. The report states something. The report states the World Health Organization.,"The report's content includes a statement, and it also mentions the World Health Organization; your task is to produce a detailed report that reflects this.",,,,
10,8,6,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,"That I was handed the arts and culture role came as a genuine shock. The notion that accompanied this appointment was equally unanticipated, leaving me momentarily at a loss for words.",,,,
