rank,source_index,z_score,source_text,attack_text,quality_1_5,semantic_preserved,major_error,notes
2,6,-1.2909944487358056,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,"Was it a surprise to be given something? The arts and culture position's assignment came as a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. Surprised by an idea, the arts and culture position assignment came to me.",,,,
4,13,-0.2581988897471611,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. To address your occasional diarrhea condition, inform the specialist about it. Tell the specialist about your occasional diarrhea condition.",,,,
9,26,-0.2581988897471611,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,The nice lots define something now. Define the topic of the nice lots to Builder. The topic of the nice lots is defined by the Builder. Define the nice lots. Builder defines the nice lots.,,,,
46,134,-0.2581988897471611,Fans need to understand that players must step up their games before something. Fans need to step up their games before something. The team's behavior must be more responsible before a disaster. New York Yankees fans must step up their game before a disaster. Fans must step up their game before a disaster involving the New York Yankees.,"Fans need to understand that players must step up their games before something. Fans need to step up their games before something. The team must adopt more responsible behavior before a disaster occurs. New York Yankees fans must step up their game before a disaster. Before a disaster involving the New York Yankees occurs, fans must step up their game.",,,,
59,162,-0.2581988897471611,Explain the topic of King to the government. The government topic was explained by one official to the King. Explain the topic of the King to the government. One official explained the King to the government. One official explained the King to the government about the topic.,"To the government, explain the topic of King. The government topic was explained by one official to the King. Explain to the government the topic concerning the King. One official explained the King to the government. One official explained the King to the government about the topic.",,,,
74,191,-0.2581988897471611,Drive your motorcycle to the checkpoint. The driver is mistaken for an Angkas rider. The man who drives his wife to work on their motorcycle is often mistaken for an Angkas rider by enforcers. The man is mistaken for an Angkas rider. The driver is mistaken for an Angkas rider.,"Drive your motorcycle to the checkpoint. Mistaken for an Angkas rider, the driver is. Often mistaken for an Angkas rider by enforcers is the man who drives his wife to work on their motorcycle. Mistaken for an Angkas rider, the man is wrong. Mistaken for an Angkas rider, the driver is.",,,,
35,100,0.7745966692414834,"The stabbing is reported as something. The fatal stabbing scene is a reported incident. A reported incident of a man was a fatal stabbing scene at a house on Rutland Grove, Crumlin to one Garda. Report the fatal scene. The fatal stabbing scene was reported to a Garda.","The stabbing is reported as something. The reported incident involves a fatal stabbing scene. A fatal stabbing incident at a house on Rutland Grove, Crumlin, was reported to one Garda as involving a man. Report the fatal scene. A Garda received a report of the fatal stabbing scene.",,,,
50,143,0.7745966692414834,A well-made Swiss watch will hold its value at a future time. Maintain your Swiss watch so it holds its value over time. A well-made Swiss watch will hold something at a future time. A well-made Swiss watch will hold its value at a future time. A well-made Swiss watch.,A well-crafted Swiss timepiece retains its worth over time. Maintain your Swiss watch so it holds its value over time. A well-made Swiss watch will hold something at a future time. A well-crafted Swiss timepiece will retain its worth in the years to come. A well-made Swiss watch.,,,,
82,206,0.7745966692414834,The teaser trailer unveiled something about the upcoming film. The teaser trailer unveiled a scene from the upcoming film recently. Show the teaser scene from the upcoming film to Jack Sparrow. The teaser trailer unveiled a scene from the film to something. The teaser trailer unveiled a scene from the upcoming film to Jack Sparrow.,The teaser trailer unveiled something about the upcoming film. The upcoming film's teaser trailer recently unveiled a scene from it. Jack Sparrow should be shown the teaser scene from the upcoming film. The teaser trailer unveiled a scene from the film to something. The upcoming film's teaser trailer unveiled a scene to Jack Sparrow.,,,,
91,232,0.7745966692414834,Vote Leave has been accused of a subversion of democracy. Vote Leave has been accused of a subversion of democracy. Accuse Vote Leave of a subversion of democracy. Vote Leave's subversion of democracy accusation. Someone accused something.,"Accused of subverting democracy, Vote Leave has faced that charge. Accused of subverting democracy, Vote Leave has faced that charge. Accuse Vote Leave of a subversion of democracy. Vote Leave's subversion of democracy accusation. Someone accused something.",,,,
