method,index,z_score,length_ratio,source_text,attack_text,human_quality,semantic_preserved,major_error,notes,auto_risk,auto_semantic_pass,auto_checks
node,6,-1.2909944487358056,0.997,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,Surprised that something was given? I was surprised that the positions were assigned to art and culture. I was surprised that the positions were assigned to art and culture. It's surprising that I was assigned the position of art and culture. I was surprised that the position was assigned to art and culture.,,,,,pass_proxy,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
node,13,-1.2909944487358056,1.128,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"Someone has an occasional diarrhea effect. Someone who experiences occasional diarrhea is a condition. Diarrhea is an occasional condition. Tell your doctor about your condition of occasional diarrhea, or specialized individual. Tell a specialized individual about your occasional diarrhea condition.",,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
node,20,-1.2909944487358056,1.095,Aylesbury's new deputy area commander is making himself approachable. Aylesbury's new deputy area commander made approachable. The deputy area commander made himself approachable. The new deputy area commander made himself approachable. The deputy area commander made himself approachable to one Aylesbury.,"A new area commander in Aylesbury has made his approach possible. Making a new approach to the deputy commander of the Aylesbury area. The individual deputy commander of the area made an approach possible. A new individual, the area deputy commander, made his approach possible. The area deputy commander made an approach to Aylesbury.",,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
node,26,-0.2581988897471611,1.017,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,Now a nice lot of definitions of something. Define a nice lot of topics for the builder. The builder defines a nice lot of topics. Define a nice lot. The builder defines a nice lot.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
node,40,1.6666666666666667,1.005,Virtuoso Luxe Report surveyed something. Survey your advisor about the Virtuoso Luxe Report for Virtuoso. The Virtuoso Luxe Report was surveyed. Virtuoso Luxe Report. An advisor surveyed Virtuoso Luxe Report about a topic.,Virtuoso Luxe Report is doing a survey on something. Survey your advisers with the Virtuoso Luxe Report. Virtuoso Luxe Report Survey Virtuoso Luxe Report Advisors have been surveying the topic for the Virtuoso Luxe Report .,,,,,sentence_count_changed,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
node,38,1.8073922282301278,0.936,The longest edition of Football Weekly has something. The longest edition of Football Weekly gave something to one Football Weekly. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max.,The longest edition of Football Weekly has something. The longest edition of Football Weekly gives it something. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
node,45,1.8073922282301278,1.006,President Trump's decision to freeze federal employee pay and cut retirement programs met with great consternation from something. The topic of Donald Trump's decision met with great consternation. Ask Donald Trump about the decision. Someone asked Donald Trump about a decision. Ask Donald Trump about the decision.,The President's decision to freeze the pay of federal employees and cut the retirement program met with great consternation from something. The topic of Donald Trump's decision met great consternation. Ask Donald Trump what he decides. Someone asked Donald Trump to make the decision. Ask Donald Trump what he decides.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
node,18,2.3094010767585034,0.932,A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.,The concept is defined as a ratio of 2:2. The concept of NASA is defined by something. The concept of NASA is defined as something at a time. Define the concept by something The concept of NASA is defined by something.,,,,,sentence_count_changed,false,"{""numbers_preserved"": false, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
node,28,2.3094010767585034,1.339,"Echo was released in 2008. Someone cast something in Echo. Cast a role in the horror movie. A role was cast in ""Echo"" (2008). Cast a role in the horror movie ""Echo"".","a href=""http://www.music.com/echo/2008/08/08/echo-08/"">Echo 2008 - Released/a> Someone cast something on Echo. Cast the role in a horror movie. The role was cast in 2008's Echo. The role was cast in the horror movie Echo.",,,,,sentence_count_changed;length_outlier,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
node,48,2.4494897427831783,0.975,SpaceX Dragon. SpaceX Dragon. SpaceX Dragon. Make the rocket used. SpaceX Dragon launched a used supply ship to something.,SpaceX Dragon SpaceX Dragon SpaceX Dragon Make the rocket used. SpaceX Dragon launched a used supply ship to something.,,,,,sentence_count_changed,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
reattach,6,-1.2909944487358056,0.997,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,Surprised that something was given? I was surprised that the positions were assigned to art and culture. I was surprised that the positions were assigned to art and culture. It's surprising that I was assigned the position of art and culture. I was surprised that the position was assigned to art and culture.,,,,,pass_proxy,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
reattach,13,-1.2909944487358056,1.03,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"Someone has an occasional diarrhea effect. Someone who experiences occasional diarrhea is a condition. Diarrhea is an occasional condition. Tell your doctor about your condition (occasional diarrhea) or a specialist. Tell your spc about your occasional condition, diarrhoea.",,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
reattach,20,-1.1547005383792517,0.954,Aylesbury's new deputy area commander is making himself approachable. Aylesbury's new deputy area commander made approachable. The deputy area commander made himself approachable. The new deputy area commander made himself approachable. The deputy area commander made himself approachable to one Aylesbury.,A new area commander in Aylesbury made his own deputy an approach. Making a new approach to the commander of the Aylesbury area deputy The area commander made a deputy approach. The new area commander is a deputy who can make an approach. Area commanders made a deputy approach for Aylesbury.,,,,,sentence_count_changed,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
reattach,26,0.7745966692414834,0.949,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,Now a nice lot of definitions of something. Define a nice lot topic for builders. Builders define nice lots as topics. Define a nice lot. The builders define a nice lot.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
reattach,40,1.6666666666666667,0.946,Virtuoso Luxe Report surveyed something. Survey your advisor about the Virtuoso Luxe Report for Virtuoso. The Virtuoso Luxe Report was surveyed. Virtuoso Luxe Report. An advisor surveyed Virtuoso Luxe Report about a topic.,Virtuoso Luxe Report is doing a survey on something. Survey your advisors with the Virtuoso Luxe Report. Virtuoso Luxe Report Survey Virtuoso Luxe Report Advisors surveyed the Virtuoso Luxe Report on the topic.,,,,,sentence_count_changed,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
reattach,23,1.8073922282301278,0.877,Asus's plan for the laptop's display drivers is something. Asus plans something at a location. Asus updates the laptop's display drivers at a location. Asus plans to update the display drivers. Asus's plan for the laptop's display drivers is something.,Asus' plan to drive the display is something. Asus is planning something in the location. Asus updated the display drive in the location. Asus plans to update display drivers. Asus' plan to drive the display is something.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
reattach,38,1.8073922282301278,0.936,The longest edition of Football Weekly has something. The longest edition of Football Weekly gave something to one Football Weekly. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max.,The longest edition of Football Weekly has something. The longest edition of Football Weekly gives it something. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
reattach,45,1.8073922282301278,1.028,President Trump's decision to freeze federal employee pay and cut retirement programs met with great consternation from something. The topic of Donald Trump's decision met with great consternation. Ask Donald Trump about the decision. Someone asked Donald Trump about a decision. Ask Donald Trump about the decision.,The federal decision by President Trump to freeze government employees' pay and cut the retirement program met with great consternation. The topic of Donald Trump's decision met great consternation. Ask Donald Trump what the decision is. Someone asked Donald Trump to make the decision. Ask Donald Trump what the decision is.,,,,,pass_proxy,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
reattach,49,2.3094010767585034,0.911,Nike Inc tell the profit from sales of sports clothes. Nike Inc reported a profit. Nike Inc is a company. Nike Inc reported something in a location. Nike Inc reported a profit in a location.,Sportingly tell Nike Inc to profit from selling clothes? Nike Inc reported a profit. Nike Inc. Nike Inc reported something at the location. Nike Inc reported a profit there.,,,,,pass_proxy,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
reattach,17,2.3094010767585034,1.0,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,The home will be sold in New York in 2023. New York will be sold in 2023. New York sold home New York will be sold in 2023. New York sold the home in 2023.,,,,,sentence_count_changed,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
