review_id,budget_k,source_index,source,candidate,meaning_preserved_0_or_1,facts_preserved_0_or_1,readable_0_or_1,reviewer_notes
1,8,3,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,"Kim Rinaldi is now the director of Middletown Township Public Library. The appointment was made by the library, though the Township of Middletown is also involved in the appointment process. The library is the appointing body for this role.",0,0,1,"The source states the library appointed Kim Rinaldi as director, but also redundantly says 'Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown' which implies the township made the appointment and the library is the appointee. The candidate simplifies this to say the library is the appointing body, which contradicts the source's odd phrasing that the township is the appointer. It also omits the redundant repetition but adds an interpretation not in the source."
2,1,6,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,"The surprise, for me, was the arts and culture position itself, not merely the act of receiving it. It struck me as an unexpected assignment, carrying with it an unforeseen idea.",0,1,1,"Adds a new proposition ('not merely the act of receiving it') and interprets the surprise as being about the position itself, which is not in the source. Also adds 'unforeseen idea' which is not explicitly stated."
3,1,21,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,"A recent transaction has resulted in the acquisition of two military helicopters by the UAE, with the seller being an unspecified entity.",1,1,1,"All source propositions (UAE acquired two military helicopters, from an entity) are preserved without adding new information. The phrasing is natural and grammatical."
4,2,3,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,"Kim Rinaldi is now the director of Middletown Township Public Library. The appointment was made by the library, though the Township of Middletown is also involved in the appointment process. The library is the appointing body for this role.",0,0,1,"The source states the library appointed Kim Rinaldi as director, but also redundantly says 'Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown' which implies the township made the appointment and the library is the appointee. The candidate simplifies this to say the library is the appointing body, which contradicts the source's odd phrasing that the township is the appointer. It also omits the redundant repetition but adds an interpretation not in the source."
5,2,17,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"New York became the owner of the home when the transaction was completed in 2023, and that same year witnessed the transfer of the property to the state.",0,0,1,"The source states 'New York sold the home in 2023' (New York is the seller), but the candidate says 'New York became the owner' and 'transfer of the property to the state' — reversing the roles and adding an unsupported claim that the state received the property."
6,8,26,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,"Something is now defined by the nice lots, and that something is their topic. Builder is tasked with defining that topic. Additionally, the nice lots themselves are to be defined, which Builder also handles.",1,1,1,"All source propositions are preserved: the nice lots define something (their topic), Builder defines that topic, and Builder defines the nice lots. No new information is added, and the phrasing is natural and coherent."
7,2,11,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,"QVC is quite aggressive, and its Black Friday plans are especially so; tell QVC what you think about Black Friday, because QVC has aggressive plans for that day.",0,0,1,"Adds 'quite' and 'especially so' (new degree claims), and 'what you think about Black Friday' (new proposition not in source). Also changes 'tell QVC something' to 'tell QVC what you think' which is a different request."
8,4,2,Marketers define something. Marketers define Apple. Marketers define the Apple brand as something. Define the Apple brand as a marketer. A marketer defines Apple as a brand.,"When it comes to defining a brand, marketers have a specific framework in mind. That framework, when applied to Apple, yields a particular definition. In other words, the Apple brand is defined by marketers according to their professional criteria.",0,0,1,"Adds new propositions ('specific framework', 'professional criteria') and changes the source's simple definitional statements into an interpretive explanation, altering the original meaning and introducing unsupported claims."
9,2,4,The report states something. Make your report detailed. The report states the World Health Organization. The report states something. The report states the World Health Organization.,"The report's content includes a statement, and it also mentions the World Health Organization; your task is to produce a detailed report that reflects this.",0,1,1,"Adds 'your task is to produce a detailed report' which is an instruction not present in the source, and rephrases 'states something' as 'content includes a statement' which is a slight shift but not a new proposition. However, the added instruction is a new proposition."
10,8,6,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,"That I was handed the arts and culture role came as a genuine shock. The notion that accompanied this appointment was equally unanticipated, leaving me momentarily at a loss for words.",0,1,1,"Adds new propositions: 'genuine shock' (stronger than surprise), 'leaving me momentarily at a loss for words' (not in source), and 'equally unanticipated' for the notion, which is not stated in the source."
